video,person_id,object_id,coupling_conf,diverge_conf,rest_conf,bin_prox,l4_conf,evidence_conf,pred_violation,event_label
vid0001.mp4,1,2,0.916,0.733,1.0,0.0,0.5,0.658,1,1
vid0003.mp4,15,17,0.973,0.793,1.0,0.82,0.5,0.895,0,1
vid0006.mp4,52,53,0.963,1.0,1.0,0.0,0.5,0.739,1,0
vid0007.mp4,65,75,0.836,0.702,0.5,0.361,0.5,0.617,0,0
vid0009.mp4,168,192,0.0,1.0,0.5,0.939,0.9,0.585,0,0
vid0009.mp4,199,192,0.0,1.0,0.5,0.878,0.9,0.57,0,0
vid0009.mp4,168,207,0.0,1.0,0.5,0.85,0.9,0.563,0,0
vid0009.mp4,199,207,0.0,1.0,0.5,0.987,0.9,0.597,0,0
vid0009.mp4,210,211,0.0,1.0,0.5,0.939,0.9,0.585,0,0
vid0009.mp4,210,230,0.0,1.0,0.5,0.909,0.9,0.577,0,0
vid0010.mp4,232,303,0.973,0.72,1.0,0.0,0.5,0.672,1,1
vid0010.mp4,231,311,0.785,1.0,0.5,0.0,0.5,0.586,1,0
vid0011.mp4,417,475,0.945,1.0,1.0,0.934,0.5,0.967,0,0
vid0014.mp4,505,506,0.95,1.0,0.5,0.0,0.5,0.635,1,0
vid0014.mp4,505,509,0.0,1.0,0.5,0.842,0.9,0.56,0,0
vid0014.mp4,505,510,0.0,1.0,0.5,0.889,0.9,0.572,0,0
vid0014.mp4,505,513,0.0,1.0,0.5,0.891,0.88,0.573,0,1
vid0015.mp4,558,563,0.831,0.708,1.0,0.36,0.5,0.716,0,0
vid0015.mp4,557,571,0.965,0.7,1.0,0.0,0.5,0.664,0,0
vid0015.mp4,586,592,0.905,1.0,0.5,1.0,0.5,0.872,0,0
vid0015.mp4,557,597,0.925,0.742,1.0,1.0,0.5,0.913,0,0
vid0015.mp4,598,609,0.899,0.711,1.0,0.96,0.5,0.887,0,0
vid0015.mp4,617,634,0.909,0.76,1.0,0.032,0.5,0.671,1,0
vid0015.mp4,643,654,0.993,1.0,0.5,0.697,0.9,0.822,0,0
vid0015.mp4,586,662,0.912,1.0,0.5,0.647,0.5,0.785,0,0
vid0015.mp4,643,665,0.998,0.7,0.5,0.74,0.5,0.759,0,0
vid0015.mp4,615,662,0.883,0.882,0.5,0.952,0.5,0.823,0,0
vid0015.mp4,753,766,0.89,1.0,1.0,0.0,0.5,0.717,1,0
vid0015.mp4,880,766,0.868,0.962,1.0,0.148,0.5,0.738,1,0
vid0015.mp4,915,934,0.947,0.734,1.0,0.816,0.5,0.872,0,0
vid0015.mp4,915,1036,0.964,0.837,0.5,0.0,0.5,0.598,1,0
vid0015.mp4,915,1082,0.865,1.0,1.0,0.0,0.5,0.71,1,0
vid0015.mp4,574,1082,0.697,0.702,0.5,0.0,0.5,0.485,1,0
vid0015.mp4,1170,1195,0.943,0.736,1.0,0.665,0.5,0.833,0,0
vid0019.mp4,1298,1299,1.0,0.726,1.0,0.0,0.5,0.681,1,1
vid0022.mp4,1303,1305,0.912,0.943,1.0,0.0,0.5,0.709,1,1
vid0024.mp4,1314,1374,0.983,1.0,0.5,0.0,0.5,0.645,1,0
vid0024.mp4,1313,1441,0.947,0.805,1.0,0.0,0.5,0.685,1,0
vid0024.mp4,1435,1443,0.761,0.778,0.5,0.0,0.5,0.523,1,0
vid0024.mp4,1315,1455,0.919,0.919,0.5,0.0,0.5,0.605,1,0
vid0026.mp4,1482,1485,0.935,0.753,1.0,0.0,0.5,0.669,1,0
vid0026.mp4,1482,1554,0.9,1.0,1.0,0.0,0.5,0.72,1,1
vid0028.mp4,1613,1637,0.655,1.0,0.5,0.0,0.5,0.546,1,0
vid0028.mp4,1615,1671,0.954,0.796,1.0,0.0,0.5,0.685,1,0
vid0028.mp4,1615,1676,0.923,1.0,0.5,0.0,0.5,0.627,1,0
vid0028.mp4,1650,1691,0.871,0.85,0.5,0.0,0.5,0.574,1,0
vid0030.mp4,1714,1737,0.644,1.0,0.5,0.0,0.5,0.543,1,0
vid0032.mp4,1772,1775,0.969,0.776,0.5,0.0,0.5,0.585,1,1
vid0032.mp4,1772,1776,0.963,0.701,0.5,0.0,0.5,0.564,1,0
vid0034.mp4,1786,1791,0.846,1.0,1.0,0.0,0.5,0.704,1,1
vid0036.mp4,1882,1900,1.0,1.0,0.5,0.0,0.5,0.65,1,0
vid0036.mp4,1883,1913,0.0,1.0,0.5,0.0,0.95,0.35,1,0
vid0037.mp4,1931,2196,0.877,1.0,0.5,0.816,0.5,0.817,0,0
vid0037.mp4,1938,2293,0.0,1.0,0.5,0.0,0.88,0.35,1,0
vid0037.mp4,1934,2293,0.0,1.0,0.5,0.0,0.88,0.35,1,0
vid0041.mp4,2475,2478,0.963,0.876,0.5,0.2,0.5,0.658,0,0
vid0041.mp4,2475,2486,0.954,1.0,0.5,0.16,0.5,0.676,1,0
vid0041.mp4,2475,2490,0.942,0.7,1.0,0.017,0.5,0.662,1,0
vid0041.mp4,2475,2510,0.949,1.0,1.0,0.924,0.5,0.966,0,0
vid0045.mp4,2516,2515,0.935,0.845,0.5,0.0,0.5,0.592,1,1
vid0045.mp4,2516,2544,0.988,1.0,1.0,0.0,0.5,0.746,1,1
vid0046.mp4,2742,2740,0.947,1.0,0.5,0.806,0.5,0.836,0,0
vid0046.mp4,2782,2784,0.899,1.0,0.5,0.0,0.5,0.62,1,0
vid0046.mp4,2817,2849,0.953,0.701,1.0,0.0,0.5,0.661,1,0
vid0048.mp4,2915,2924,0.994,0.702,0.5,0.0,0.5,0.574,1,0
vid0048.mp4,2915,2926,0.985,0.704,0.5,0.0,0.5,0.572,1,0
vid0048.mp4,2879,2931,0.923,1.0,1.0,0.0,0.5,0.727,0,0
vid0048.mp4,2915,2936,0.967,0.7,0.5,0.0,0.5,0.565,1,0
vid0048.mp4,2945,2989,1.0,1.0,0.5,0.0,0.5,0.65,1,0
vid0048.mp4,2997,3003,0.935,1.0,1.0,0.0,0.5,0.731,1,0
vid0048.mp4,2997,3140,0.946,1.0,0.5,0.168,0.5,0.676,0,0
vid0048.mp4,2997,3157,0.821,1.0,0.5,0.346,0.5,0.683,0,0
vid0048.mp4,2997,3159,0.883,0.714,0.5,0.279,0.5,0.613,0,0
vid0048.mp4,2997,3177,0.885,0.715,1.0,0.383,0.5,0.74,0,0
vid0048.mp4,2997,3182,0.939,1.0,1.0,0.0,0.5,0.732,1,0
vid0048.mp4,3005,3175,0.923,0.711,0.5,0.853,0.5,0.768,0,0
vid0048.mp4,3178,3207,0.988,0.702,1.0,0.615,0.5,0.826,0,0
vid0048.mp4,2945,3175,0.89,1.0,0.5,0.663,0.5,0.783,0,0
vid0048.mp4,2879,3226,0.0,1.0,0.5,0.934,0.9,0.583,0,0
vid0048.mp4,3288,3312,0.973,0.701,0.5,0.13,0.5,0.6,1,0
vid0048.mp4,3270,3305,0.0,1.0,0.5,0.913,0.9,0.578,0,0
